Index,Amplitude
0,0
1,146973467
2,293257700
3,438166698
4,581020908
5,721150414
6,857898077
7,990622617
8,1118701621
9,1241534461
10,1358545110
11,1469184847
12,1572934824
13,1669308506
14,1757853946
15,1838155910
16,1909837821
17,1972563525
18,2026038870
19,2070013082
20,2104279944
21,2128678762
22,2143095115
23,2147461400
24,2141757140
25,2126009085
26,2100291086
27,2064723747
28,2019473864
29,1964753634
30,1900819669
31,1827971789
32,1746551614
33,1656940965
34,1559560073
35,1454865605
36,1343348529
37,1225531804
38,1101967934
39,973236373
40,839940808
41,702706332
42,562176505
43,419010346
44,273879233
45,127463760
46,-19549454
47,-166470993
48,-312611863
49,-457286737
50,-599817159
51,-739534732
52,-875784249
53,-1007926764
54,-1135342596
55,-1257434226
56,-1373629103
57,-1483382331
58,-1586179221
59,-1681537704
60,-1769010598
61,-1848187696
62,-1918697696
63,-1980209942
64,-2032435970
65,-2075130867
66,-2108094413
67,-2131172026
68,-2144255484
69,-2147283431
70,-2140241668
71,-2123163217
72,-2096128167
73,-2059263301
74,-2012741495
75,-1956780915
76,-1891643989
77,-1817636176
78,-1735104538
79,-1644436107
80,-1546056074
81,-1440425793
82,-1328040619
83,-1209427583
84,-1085142923
85,-955769472
86,-821913930
87,-684204013
88,-543285513
89,-399819269
90,-254478069
91,-107943490
92,39097289
93,185954723
94,331940119
95,476368879
96,618563701
97,757857762
98,893597840
99,1025147381
100,1151889481
101,1273229782
102,1388599258
103,1497456882
104,1599292164
105,1693627547
106,1780020644
107,1858066315
108,1927398561
109,1987692251
110,2038664634
111,2080076676
112,2111734175
113,2133488672
114,2145238150
115,2146927508
116,2138548826
117,2120141394
118,2091791534
119,2053632195
120,2005842323
121,1948646031
122,1882311541
123,1807149929
124,1723513667
125,1631794968
126,1532423947
127,1425866607
128,1312622649
129,1193223132
130,1068227982
131,938223364
132,803818936
133,665644991
134,524349496
135,380595058
136,235055815
137,88414275
138,-58641884
139,-205423042
140,-351240866
141,-495411542
142,-637258980
143,-776117985
144,-911337376
145,-1042283039
146,-1168340904
147,-1288919821
148,-1403454334
149,-1511407332
150,-1612272567
151,-1705577032
152,-1790883174
153,-1867790948
154,-1935939695
155,-1995009831
156,-2044724346
157,-2084850102
158,-2115198929
159,-2135628507
160,-2146043031
161,-2146393661
162,-2136678753
163,-2116943866
164,-2087281546
165,-2047830896
166,-1998776918
167,-1940349654
168,-1872823098
169,-1796513916
170,-1711779961
171,-1619018595
172,-1518664822
173,-1411189254
174,-1297095897
175,-1176919794
